City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
118,Vila Franca Do Campo,37.7167,-25.4333,21.23,92,79,2.56,PT,1663391026
119,Sobolevo,54.4299,31.8996,8.02,78,6,4.98,RU,1663391026
120,Geraldton,-28.7667,114.6,21.23,56,75,5.14,AU,1663391026
121,Tuatapere,-46.1333,167.6833,11.4,61,100,2.54,NZ,1663391026
122,Bowmore,34.9421,-79.3031,19.43,89,0,0.0,US,1663391026
123,Dombarovskiy,50.7587,59.5386,16.51,72,99,3.78,RU,1663391027
124,Albany,42.6001,-73.9662,12.6,86,79,1.64,US,1663391027
125,Touros,-5.1989,-35.4608,22.29,84,15,4.87,BR,1663391028
126,Pihani,27.6333,80.2,27.0,79,84,1.54,IN,1663391028
127,Kisangani,0.5167,25.2,20.29,98,99,0.87,CD,1663391028
128,Ahipara,-35.1667,173.1667,13.4,59,84,2.62,NZ,1663391029
129,Sao Gabriel Da Cachoeira,-0.1303,-67.0892,22.27,97,100,0.76,BR,1663391029
130,Polonnaruwa,7.9333,81.0,34.81,37,20,3.73,LK,1663390806
131,Tiksi,71.6872,128.8694,2.53,98,100,3.58,RU,1663391030
132,Shaunavon,49.6501,-108.4181,13.72,80,99,4.33,CA,1663391030
133,Avarua,-21.2078,-159.775,24.03,73,20,6.69,CK,1663390812
134,Ahuimanu,21.4447,-157.8378,26.59,86,100,0.0,US,1663391031
135,Vyartsilya,62.1764,30.693,10.34,100,92,2.68,RU,1663391031
136,Polunochnoye,60.8697,60.4153,10.16,61,91,3.41,RU,1663391031
137,Puerto Ayora,-0.7393,-90.3518,18.64,95,9,0.45,EC,1663391031
138,Abbeville,50.1,1.8333,11.98,71,35,4.55,FR,1663391032
139,Atlautla,19.0167,-98.7833,14.36,91,100,1.83,MX,1663391032
140,Dingle,10.9995,122.6711,30.43,69,92,6.2,PH,1663391032
141,Griffith,41.5284,-87.4237,22.96,81,0,2.06,US,1663391033
142,Torbay,47.6666,-52.7314,13.65,90,75,5.66,CA,1663391033
143,Hilo,19.7297,-155.09,26.82,95,27,0.45,US,1663390834
144,Thinadhoo,0.5333,72.9333,27.69,67,79,1.86,MV,1663391034
